Date,OrderID,WarehouseID,ProductID,Stage,OpenUnits,OpenValueUSD,OverdueUnits,AgeUnitDays
2024-01-31,824,1,28,Pack,18,282.06,0,0
2024-01-31,825,1,9,Pack,4,63.36,0,0
2024-01-31,826,1,21,Pack,4,132.56,0,0
2024-01-31,827,1,3,Pack,16,840.48,0,0
2024-01-31,828,1,15,Pack,16,1146.08,0,0
2024-01-31,829,1,24,Pack,19,2389.25,0,0
2024-01-31,830,1,16,Pack,13,449.15,0,0
2024-01-31,831,1,19,Pack,9,190.26,0,0
2024-01-31,832,1,7,Pack,4,350.84,0,0
2024-01-31,833,1,3,Pack,8,420.24,0,0
2024-01-31,834,1,18,Pack,18,1303.74,0,0
2024-01-31,787,1,32,Dispatch,6,98.22,0,6
2024-01-31,788,1,10,Dispatch,11,1083.17,0,11
2024-01-31,789,1,14,Dispatch,12,1116.24,0,12
2024-01-31,790,1,20,Dispatch,16,1450.72,0,16
2024-01-31,791,1,30,Dispatch,20,928.2,0,20
2024-01-31,792,1,12,Dispatch,14,1271.9,0,14
2024-01-31,793,1,16,Dispatch,16,552.8,0,16
2024-01-31,794,1,15,Dispatch,6,429.78,0,6
2024-01-31,795,1,27,Dispatch,7,854.0,0,7
2024-01-31,796,1,31,Dispatch,5,166.25,0,5
2024-01-31,797,1,32,Dispatch,20,327.4,0,20
2024-01-31,845,2,27,Pick,3,366.0,0,0
2024-01-31,846,2,8,Pick,12,865.8,0,0
2024-01-31,847,2,15,Pick,8,573.04,0,0
2024-01-31,848,2,15,Pick,11,787.93,0,0
2024-01-31,849,2,5,Pick,20,174.2,0,0
2024-01-31,440,2,24,Pack,8,1006.0,8,120
2024-01-31,542,2,24,Pack,10,1257.5,10,120
2024-01-31,582,2,24,Pack,15,1886.25,15,135
2024-01-31,659,2,24,Pack,16,2012.0,16,112
2024-01-31,697,2,24,Pack,21,2640.75,21,126
2024-01-31,768,2,24,Pack,11,1383.25,0,22
2024-01-31,835,2,5,Pack,5,43.55,0,0
2024-01-31,836,2,9,Pack,20,316.8,0,0
2024-01-31,837,2,8,Pack,3,216.45,0,0
2024-01-31,838,2,1,Pack,5,599.3,0,0
2024-01-31,839,2,24,Pack,18,2263.5,0,0
2024-01-31,840,2,29,Pack,15,337.65,0,0
2024-01-31,841,2,3,Pack,20,1050.6,0,0
2024-01-31,842,2,30,Pack,19,881.79,0,0
2024-01-31,843,2,8,Pack,7,505.05,0,0
2024-01-31,844,2,22,Pack,10,290.6,0,0
2024-01-31,845,2,27,Pack,2,244.0,0,0
2024-01-31,798,2,13,Dispatch,3,340.38,0,3
2024-01-31,799,2,18,Dispatch,3,217.29,0,3
2024-01-31,800,2,10,Dispatch,13,1280.11,0,13
2024-01-31,801,2,6,Dispatch,7,119.77,0,7
2024-01-31,802,2,12,Dispatch,8,726.8,0,8
2024-01-31,803,2,16,Dispatch,14,483.7,0,14
2024-01-31,804,2,11,Dispatch,9,745.38,0,9
2024-01-31,805,2,13,Dispatch,3,340.38,0,3
2024-01-31,806,2,3,Dispatch,19,998.07,0,19
2024-01-31,807,2,8,Dispatch,12,865.8,0,12
2024-01-31,808,2,14,Dispatch,16,1488.32,0,16
2024-01-31,809,2,23,Dispatch,8,992.4,0,8
2024-01-31,810,2,13,Dispatch,18,2042.28,0,18
2024-01-31,811,2,22,Dispatch,11,319.66,0,11
2024-01-31,812,2,19,Dispatch,18,380.52,0,18
2024-01-31,850,3,32,Pack,7,114.59,0,0
2024-01-31,851,3,20,Pack,18,1632.06,0,0
2024-01-31,852,3,19,Pack,14,295.96,0,0
2024-01-31,853,3,27,Pack,17,2074.0,0,0
2024-01-31,854,3,12,Pack,11,999.35,0,0
2024-01-31,855,3,26,Pack,6,517.38,0,0
2024-01-31,856,3,23,Pack,15,1860.75,0,0
2024-01-31,857,3,12,Pack,7,635.95,0,0
2024-01-31,858,3,11,Pack,21,1739.22,0,0
2024-01-31,859,3,24,Pack,3,377.25,0,0
2024-01-31,860,3,21,Pack,15,497.1,0,0
2024-01-31,861,3,6,Pack,21,359.31,0,0
2024-01-31,813,3,16,Dispatch,16,552.8,0,16
2024-01-31,814,3,14,Dispatch,15,1395.3,0,15
2024-01-31,815,3,23,Dispatch,16,1984.8,0,16
2024-01-31,816,3,16,Dispatch,4,138.2,0,4
2024-01-31,817,3,2,Dispatch,5,455.7,0,5
2024-01-31,818,3,21,Dispatch,4,132.56,0,4
2024-01-31,819,3,5,Dispatch,5,43.55,0,5
2024-01-31,820,3,14,Dispatch,15,1395.3,0,15
2024-01-31,821,3,2,Dispatch,20,1822.8,0,20
2024-01-31,822,3,26,Dispatch,7,603.61,0,7
2024-01-31,823,3,20,Dispatch,15,1360.05,0,15
2024-02-29,1618,1,14,Pack,13,1209.26,0,0
2024-02-29,1619,1,31,Pack,14,465.5,0,0
2024-02-29,1620,1,17,Pack,5,573.35,0,0
2024-02-29,1621,1,3,Pack,14,735.42,0,0
2024-02-29,1622,1,28,Pack,6,94.02,0,0
2024-02-29,1623,1,30,Pack,7,324.87,0,0
2024-02-29,1624,1,25,Pack,4,81.2,0,0
2024-02-29,1625,1,7,Pack,5,438.55,0,0
2024-02-29,1626,1,10,Pack,9,886.23,0,0
2024-02-29,1627,1,3,Pack,12,630.36,0,0
2024-02-29,1628,1,11,Pack,4,331.28,0,0
2024-02-29,1629,1,11,Pack,20,1656.4,0,0
2024-02-29,1630,1,25,Pack,5,101.5,0,0
2024-02-29,1578,1,6,Dispatch,11,188.21,0,11
2024-02-29,1579,1,22,Dispatch,9,261.54,0,9
2024-02-29,1580,1,10,Dispatch,13,1280.11,0,13
2024-02-29,1581,1,31,Dispatch,14,465.5,0,14
2024-02-29,1582,1,32,Dispatch,19,311.03,0,19
2024-02-29,1583,1,21,Dispatch,8,265.12,0,8
2024-02-29,1584,1,29,Dispatch,10,225.1,0,10
2024-02-29,1585,1,23,Dispatch,21,2605.05,0,21
2024-02-29,1586,1,6,Dispatch,7,119.77,0,7
2024-02-29,1587,1,18,Dispatch,4,289.72,0,4
2024-02-29,1588,1,19,Dispatch,11,232.54,0,11
2024-02-29,1589,1,19,Dispatch,17,359.38,0,17
2024-02-29,1590,1,2,Dispatch,4,364.56,0,4
2024-02-29,1591,1,28,Dispatch,3,47.01,0,3
2024-02-29,1631,2,29,Pack,6,135.06,0,0
2024-02-29,1632,2,29,Pack,9,202.59,0,0
2024-02-29,1633,2,17,Pack,4,458.68,0,0
2024-02-29,1634,2,2,Pack,4,364.56,0,0
2024-02-29,1635,2,11,Pack,21,1739.22,0,0
2024-02-29,1636,2,18,Pack,12,869.16,0,0
2024-02-29,1637,2,9,Pack,3,47.52,0,0
2024-02-29,1638,2,21,Pack,12,397.68,0,0
2024-02-29,1639,2,6,Pack,7,119.77,0,0
2024-02-29,1640,2,14,Pack,8,744.16,0,0
2024-02-29,1641,2,3,Pack,7,367.71,0,0
2024-02-29,1642,2,27,Pack,17,2074.0,0,0
2024-02-29,1564,2,32,Dispatch,3,49.11,0,6
2024-02-29,1592,2,30,Dispatch,12,556.92,0,12
2024-02-29,1593,2,7,Dispatch,10,877.1,0,10
2024-02-29,1594,2,10,Dispatch,17,1673.99,0,17
2024-02-29,1595,2,9,Dispatch,3,47.52,0,3
2024-02-29,1596,2,23,Dispatch,14,1736.7,0,14
2024-02-29,1597,2,19,Dispatch,14,295.96,0,14
2024-02-29,1598,2,13,Dispatch,3,340.38,0,3
2024-02-29,1599,2,25,Dispatch,12,243.6,0,12
2024-02-29,1600,2,19,Dispatch,21,443.94,0,21
2024-02-29,1601,2,25,Dispatch,3,60.9,0,3
2024-02-29,1602,2,22,Dispatch,20,581.2,0,20
2024-02-29,1603,2,24,Dispatch,3,377.25,0,3
2024-02-29,1604,2,17,Dispatch,7,802.69,0,7
2024-02-29,1605,2,1,Dispatch,8,958.88,0,8
2024-02-29,1643,3,10,Pack,20,1969.4,0,0
2024-02-29,1644,3,7,Pack,3,263.13,0,0
2024-02-29,1645,3,6,Pack,9,153.99,0,0
2024-02-29,1646,3,14,Pack,9,837.18,0,0
2024-02-29,1647,3,19,Pack,16,338.24,0,0
2024-02-29,1648,3,11,Pack,6,496.92,0,0
2024-02-29,1649,3,15,Pack,9,644.67,0,0
2024-02-29,1650,3,23,Pack,7,868.35,0,0
2024-02-29,1651,3,8,Pack,13,937.95,0,0
2024-02-29,1652,3,14,Pack,8,744.16,0,0
2024-02-29,1653,3,24,Pack,20,2515.0,0,0
2024-02-29,1654,3,11,Pack,12,993.84,0,0
2024-02-29,1655,3,22,Pack,8,232.48,0,0
2024-02-29,1656,3,11,Pack,19,1573.58,0,0
2024-02-29,1606,3,17,Dispatch,3,344.01,0,3
2024-02-29,1607,3,22,Dispatch,15,435.9,0,15
2024-02-29,1608,3,1,Dispatch,6,719.16,0,6
2024-02-29,1609,3,5,Dispatch,20,174.2,0,20
2024-02-29,1610,3,22,Dispatch,5,145.3,0,5
2024-02-29,1611,3,32,Dispatch,20,327.4,0,20
2024-02-29,1612,3,21,Dispatch,13,430.82,0,13
2024-02-29,1613,3,7,Dispatch,18,1578.78,0,18
2024-02-29,1614,3,25,Dispatch,5,101.5,0,5
2024-02-29,1615,3,21,Dispatch,20,662.8,0,20
2024-02-29,1616,3,19,Dispatch,7,147.98,0,7
2024-02-29,1617,3,30,Dispatch,10,464.1,0,10
2024-03-31,2421,1,19,Pack,7,147.98,0,14
2024-03-31,2422,1,12,Pack,14,1271.9,0,28
2024-03-31,2423,1,19,Pack,14,295.96,0,28
2024-03-31,2424,1,1,Pack,6,719.16,0,12
2024-03-31,2425,1,18,Pack,12,869.16,0,24
2024-03-31,2426,1,26,Pack,22,1897.06,0,44
2024-03-31,2427,1,29,Pack,9,202.59,0,18
2024-03-31,2428,1,26,Pack,21,1810.83,0,42
2024-03-31,2429,1,28,Pack,21,329.07,0,42
2024-03-31,2430,1,16,Pack,10,345.5,0,20
2024-03-31,2431,1,7,Pack,5,438.55,0,10
2024-03-31,2432,1,21,Pack,14,463.96,0,28
2024-03-31,2384,1,3,Dispatch,10,525.3,0,30
2024-03-31,2385,1,32,Dispatch,22,360.14,0,66
2024-03-31,2386,1,12,Dispatch,13,1181.05,0,39
2024-03-31,2387,1,21,Dispatch,8,265.12,0,24
2024-03-31,2388,1,2,Dispatch,7,637.98,0,21
2024-03-31,2389,1,14,Dispatch,6,558.12,0,18
2024-03-31,2390,1,21,Dispatch,6,198.84,0,18
2024-03-31,2391,1,2,Dispatch,22,2005.08,0,66
2024-03-31,2392,1,23,Dispatch,10,1240.5,0,30
2024-03-31,2393,1,8,Dispatch,12,865.8,0,36
2024-03-31,2394,1,10,Dispatch,8,787.76,0,24
2024-03-31,2395,1,6,Dispatch,5,85.55,0,15
2024-03-31,2396,1,31,Dispatch,15,498.75,0,45
2024-03-31,2397,1,11,Dispatch,9,745.38,0,27
2024-03-31,2433,2,25,Pack,4,81.2,0,8
2024-03-31,2434,2,32,Pack,5,81.85,0,10
2024-03-31,2435,2,4,Pack,5,605.9,0,10
2024-03-31,2436,2,22,Pack,9,261.54,0,18
2024-03-31,2437,2,32,Pack,22,360.14,0,44
2024-03-31,2438,2,26,Pack,18,1552.14,0,36
2024-03-31,2439,2,19,Pack,21,443.94,0,42
2024-03-31,2440,2,2,Pack,4,364.56,0,8
2024-03-31,2441,2,23,Pack,11,1364.55,0,22
2024-03-31,2442,2,10,Pack,12,1181.64,0,24
2024-03-31,2443,2,3,Pack,19,998.07,0,38
2024-03-31,2398,2,20,Dispatch,21,1904.07,0,63
2024-03-31,2399,2,5,Dispatch,18,156.78,0,54
2024-03-31,2400,2,8,Dispatch,12,865.8,0,36
2024-03-31,2401,2,8,Dispatch,4,288.6,0,12
2024-03-31,2402,2,4,Dispatch,17,2060.06,0,51
2024-03-31,2403,2,1,Dispatch,6,719.16,0,18
2024-03-31,2404,2,18,Dispatch,20,1448.6,0,60
2024-03-31,2405,2,29,Dispatch,14,315.14,0,42
2024-03-31,2406,2,5,Dispatch,10,87.1,0,30
2024-03-31,2407,2,10,Dispatch,4,393.88,0,12
2024-03-31,2408,2,10,Dispatch,15,1477.05,0,45
2024-03-31,2409,2,25,Dispatch,21,426.3,0,63
2024-03-31,2410,2,3,Dispatch,18,945.54,0,54
2024-03-31,2444,3,28,Pack,21,329.07,0,42
2024-03-31,2445,3,18,Pack,3,217.29,0,6
2024-03-31,2446,3,2,Pack,8,729.12,0,16
2024-03-31,2447,3,23,Pack,3,372.15,0,6
2024-03-31,2448,3,16,Pack,8,276.4,0,16
2024-03-31,2449,3,14,Pack,13,1209.26,0,26
2024-03-31,2450,3,9,Pack,13,205.92,0,26
2024-03-31,2451,3,20,Pack,6,544.02,0,12
